ingredient,total_interactions,products_count,top_interaction_types
quetiapine,55224,78,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
olanzapine,31722,51,"risk or severity of adverse effects, antihypertensive activities, vasoconstricting activities"
deferasirox,29274,41,"serum concentration, risk or severity of adverse effects, absorption"
aripiprazole,25935,35,"serum concentration, risk or severity of adverse effects, hypotensive activities"
diclofenac,25041,51,"risk or severity of adverse effects, metabolism, serum concentration"
risperidone,23596,34,"risk or severity of adverse effects, hypotensive activities, metabolism"
escitalopram,23456,32,"risk or severity of adverse effects, QTc-prolonging activities, metabolism"
clarithromycin,19936,28,"metabolism, serum concentration, QTc-prolonging activities"
sildenafil,19075,25,"metabolism, serum concentration, antihypertensive activities"
atomoxetine,17425,25,"metabolism, serum concentration, QTc-prolonging activities"
levetiracetam,16720,44,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of hypotension"
fluconazole,14938,22,"metabolism, serum concentration, QTc-prolonging activities"
atorvastatin,14592,38,"risk or severity of adverse effects, serum concentration, metabolism"
pramipexole,14508,36,"sedative activities, risk or severity of adverse effects, therapeutic efficacy"
imatinib,14306,23,"metabolism, serum concentration, risk or severity of adverse effects"
lidocaine,13728,24,"metabolism, risk or severity of adverse effects, serum concentration"
duloxetine,13320,18,"risk or severity of adverse effects, metabolism, orthostatic hypotensive activities"
ibuprofen,12720,30,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
metoprolol,12495,17,"serum concentration, metabolism, hypotensive activities"
tadalafil,11400,40,"antihypertensive activities, serum concentration, hypotensive activities"
nimesulide,11362,23,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of hypotension"
pantoprazole,11286,38,"metabolism, serum concentration, therapeutic efficacy"
pregabalin,11040,32,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
ondansetron,10899,21,"risk or severity of adverse effects, QTc-prolonging activities, metabolism"
dasatinib,10656,16,"serum concentration, anticoagulant activities, absorption"
